userID,recommended_itemIDs
269,2700  3793  3751  2336  3408  316  2100  1653  3624  509
271,924  2712  903  858  904  1060  1356  778  1219  1831
273,1372  2858  1580  1374  1376  2987  2628  1552  2393  908
275,3300  316  2126  2699  1960  2324  858  3448  1307  1136
279,898  930  1396  2186  904  1212  951  922  3201  910
287,3753  2763  2605  3408  2688  2881  3005  266  2369  457
291,2762  858  2791  318  357  3897  509  788  3361  2617
293,1270  1617  2396  1676  457  590  2054  1805  1608  2011
307,2959  2791  3535  2329  592  3082  1552  2502  1028  3809
311,1307  1625  1059  474  2791  1831  539  2431  2906  3809
327,2100  2797  1407  1959  2369  653  788  2402  1394  3699
337,1721  1213  1240  1193  2916  1961  235  588  3471  111
353,1198  1291  2153  3160  2694  1912  3450  1247  1271  3210
377,318  2572  150  1037  1358  2694  2329  1968  2384  2580
387,237  2424  1393  3702  1711  1291  3147  1888  2054  1252
389,3160  2858  1784  2291  590  919  111  1676  1198  592
397,589  260  1206  912  1222  1653  1242  1682  849  3418
407,2628  589  1196  1198  919  1278  1584  593  457  1291
409,589  318  1307  3481  1035  1235  1234  1077  913  2105
415,1193  541  1208  1219  2908  2248  1291  1358  372  2329
425,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
443,1198  318  1214  1372  1373  1200  3070  265  1374  1240
447,1196  1307  1136  1242  1148  1028  2248  2797  2986  2001
455,3952  265  1347  3408  2329  1591  2572  509  2115  2987
457,3160  2959  1921  2890  1394  784  2700  2324  3752  2908
463,750  1148  2289  1223  3751  2791  1517  1356  3471  1381
467,1252  508  913  3481  1961  3386  2617  3408  111  1214
473,3623  1270  1307  1711  3386  2011  2355  3252  1287  2641
475,924  1090  1222  1299  3253  1266  2712  3785  1208  2338
485,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
487,1270  357  2100  2011  1028  1307  2797  2716  1994  342
495,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
513,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
519,1196  2253  1917  788  260  316  1291  733  1876  1215
525,2916  2628  1270  593  551  3751  1500  3697  2011  1682
527,2762  912  919  1584  1291  3361  1396  1094  1275  3264
529,1035  1148  910  3504  3751  1223  1028  2150  3593  898
533,1527  648  3471  1278  737  1391  1200  2805  1235  1884
539,2858  2762  1197  924  919  3897  923  3911  912  1028
567,2700  2762  1198  2959  2791  318  858  2872  2968  3793
571,608  1213  95  3418  1586  1358  2906  923  2253  150
573,1193  913  912  2355  1358  1284  1339  1207  1307  2291
583,589  1094  737  1037  588  1372  1291  260  2527  1370
589,2683  2858  2028  1196  2987  1240  968  1207  3535  953
595,2966  1653  3481  1358  923  2699  2720  2706  3396  2712
613,1219  908  912  1262  750  485  288  2599  1591  316
615,750  908  318  3160  1200  1198  2700  2396  1961  3471
623,593  1882  2605  3396  1292  1805  104  3697  1909  587
625,3793  1711  3408  1690  1394  2723  2428  3868  2968  2916
629,2906  2353  1059  1358  2468  2580  1779  2407  2467  2021
633,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
641,1196  1968  1732  260  3146  3793  1089  1584  2353  1760
647,1197  587  1028  3753  2080  1090  2081  3175  3210  2046
649,587  539  377  2133  778  2642  2915  3527  1213  2100
651,912  1394  1247  2193  924  750  1207  593  3527  2501
657,541  589  1917  2028  1207  3793  1270  2115  750  288
659,750  953  912  1207  920  923  3471  1035  2455  1682
665,2804  2791  2355  1207  3471  3897  953  923  2081  2572
667,920  1959  2067  1035  1968  2243  2100  2336  968  1097
679,1197  919  150  608  3147  3408  1028  3702  1584  318
683,1584  2858  2628  1097  1921  3471  344  1376  849  1222
687,2028  2706  780  1270  1090  2808  1876  1262  2791  1060
691,2028  3751  1584  1028  1276  2478  1094  2194  849  3147
695,1299  1957  1960  367  648  246  497  2640  2028  1208
697,2762  3147  1193  593  1270  1222  2763  587  3408  3108
701,2028  2692  1148  353  1235  1223  2150  1909  357  3147
715,594  1022  596  1029  2096  919  2080  2087  2078  2085
717,1196  1206  3702  3704  260  673  1240  1214  923  2694
719,2054  329  1371  1356  2355  2289  2393  1304  316  2001
729,1393  788  1784  2643  2804  3361  3481  253  3534  3354
735,1617  2959  1213  2302  1271  2329  1876  1912  2528  3361
737,1136  1197  1080  1777  1278  539  1500  2788  2804  3408
741,2858  2396  750  1077  1247  1405  3210  3471  1965  1801
749,593  1213  2804  3386  587  2720  111  2329  3147  2640
751,2762  260  318  1198  3753  1291  3793  2686  1917  1148
757,1393  778  1222  1235  2300  1584  3210  3099  2808  1961
759,1080  2336  1136  1500  2109  1959  1091  509  1035  2021
771,608  1732  1278  3418  3868  555  3448  1136  466  1302
773,1278  2791  2826  2126  2393  1077  3175  3317  2908  2109
777,457  543  344  539  1608  2004  1396  1517  750  3753
779,1394  1252  1285  1407  2248  913  3361  1079  922  3683
785,3450  1129  3070  3408  2761  2826  1292  2987  3543  3717
791,1197  1148  3361  2890  1285  3751  1223  1208  2054  1358
797,2716  1270  2717  913  1663  235  353  3593  3087  3753
801,1214  1200  1240  2369  1252  1387  2664  1961  1215  733
817,2324  1732  3471  1208  3386  2423  1060  3252  357  1921
819,2706  2795  180  2005  1645  1270  1148  223  2470  1297
825,2858  2028  260  2804  2291  3751  1196  551  150  1148
829,608  1278  2300  1256  919  3147  1077  2788  1682  586
849,1200  2804  1304  1148  1214  3033  788  1513  1562  3499
857,2396  3160  1208  1219  111  923  750  788  1517  1212
859,920  3363  2193  3697  457  1371  1894  3504  1200  3481
861,2028  3793  2407  1247  1125  1242  2804  1556  1222  2600
863,3004  1035  367  2125  2881  1527  457  1200  953  3793
869,1208  733  1090  1100  288  2763  1370  2194  353  2122
875,1193  593  318  3033  2692  2617  2064  1242  1079  1136
883,2628  1968  1517  1732  1094  912  1374  3868  1060  2795
885,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
887,968  3238  1094  552  2722  3160  104  733  1393  1387
889,260  3175  1240  1278  316  2791  1876  3624  1376  434
893,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
903,608  2028  1544  111  3386  1213  1711  1500  150  3450
905,260  1387  924  1304  1517  1234  2683  1748  1262  1077
909,2396  1028  1035  1959  3535  3396  357  497  919  2080
911,457  1376  2762  377  589  1374  1304  1356  2640  3247
917,2394  2722  953  1222  2617  750  2124  1215  1682  1924
923,924  919  1921  1584  1513  1387  1148  780  1580  1371
933,318  2657  3147  150  1213  555  1690  1779  2428  3178
935,587  3244  1393  357  1266  3717  3751  2289  3396  2722
937,1136  1278  1276  1080  1234  2126  1256  2300  434  2294
941,589  1208  1148  1223  1584  3751  353  1407  2431  1266
943,260  1196  316  3160  3418  2643  2797  2291  3753  1089
947,2762  1732  3535  1517  2710  3793  1884  2987  2335  1500
959,2858  1193  3897  1921  3147  1513  2407  3911  3481  2021
985,590  150  3752  435  1231  3386  2428  3255  1513  1035
997,1094  1097  377  1393  3471  1552  339  2160  1408  1275
1005,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1007,318  1193  1500  2021  922  1358  1276  1207  1266  1252
1009,1270  2716  541  1136  1304  1234  910  2797  150  750
1025,590  1270  592  1193  1200  1304  2908  3527  3424  1214
1039,2858  3160  111  1247  1952  2081  1304  587  1207  904
1045,2396  1196  3751  1148  1094  1912  923  260  541  1562
1049,1238  1617  1222  172  1732  1408  1129  1513  3095  3809
1051,1617  2717  1304  1252  1921  2163  327  3004  2081  1207
1053,1968  1172  3210  2144  1307  2248  750  2105  2384  1246
1057,2791  1214  1234  1244  1278  2973  1200  1304  2369  1077
1061,2683  593  1517  595  3052  1028  2081  1035  588  1777
1069,1959  2100  1136  1302  1584  1408  1261  924  1732  2718
1073,924  912  910  913  1945  898  750  923  3095  3704
1077,2028  1197  1372  3070  1912  1252  1356  3793  1129  2393
1079,318  2329  150  3386  2908  1965  457  648  1678  1584
1081,318  1198  3147  595  1028  588  2081  589  919  1035
1085,318  780  1562  2028  593  3793  1676  1090  231  589
1089,1961  3448  1246  2194  2908  1302  2968  588  1958  3697
1091,920  1035  2324  750  910  2094  3785  2355  2692  2336
1093,1148  1223  3751  1208  1921  1374  2288  1198  799  2021
1105,2396  551  661  539  2692  3524  246  497  2011  543
1113,1214  1200  1240  1252  1961  2692  2664  1266  2723  2369
1119,1544  3418  377  1304  1917  1556  1193  778  357  3697
1133,1196  1198  1291  1373  923  1748  2393  1214  3717  2968
1135,1617  1408  1957  2881  2640  736  2302  1374  1371  2366
1139,2081  588  595  3793  2858  2987  377  353  1907  2054
1141,593  1391  1097  2968  673  442  590  1717  3471  1252
1149,2762  1584  1372  1356  329  1580  2393  2890  2407  2997
1157,1198  1968  1396  3363  260  1291  2144  2735  1961  1907
1167,2858  919  1291  1198  3717  2005  2324  1129  648  3157
1171,541  1276  1304  266  3418  2944  1262  1405  2617  3527
1175,593  1206  920  1080  1234  2797  1223  1148  2186  1278
1177,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1183,1196  260  2640  1372  1625  1172  2617  2877  919  2115
1189,2324  2336  778  1060  357  3424  3148  1921  3178  1381
1197,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1201,2858  3753  3535  1197  247  1407  3793  3785  750  1608
1205,920  457  474  2478  3363  1556  1266  2763  1674  1356
1219,2858  924  2021  1080  3702  1136  2502  466  377  1957
1221,2762  1193  3424  953  1207  172  3704  1035  353  1292
1227,1562  2194  1010  2371  1911  2424  1690  3052  3440  2700
1229,260  1304  1234  590  253  1327  1193  912  1552  1407
1233,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1239,2064  910  1912  3751  2997  2987  1252  1262  223  2712
1247,260  1307  1079  3702  3753  1089  153  3868  3526  1690
1255,3175  587  1500  1213  1396  3439  288  1394  2248  2335
1257,2628  2140  2161  2105  2193  1028  2078  919  593  2094
1273,919  920  1278  1291  1287  2094  2384  3285  3448  3545
1277,1035  1408  1028  260  914  1562  908  3098  858  2881
1281,2997  1197  912  953  150  1234  1584  1207  1653  913
1285,223  913  1252  1284  912  1711  3334  2987  2706  1254
1293,2858  2997  1527  3052  434  2302  733  3033  589  2826
1295,3160  2289  1777  1393  2712  2333  2599  1682  3751  3481
1303,2762  1584  2763  3101  454  3256  253  849  3108  1674
1309,924  912  2291  3418  111  3702  2959  1136  1304  367
1311,924  3471  1219  1247  953  968  1831  2455  2694  2763
1323,2005  3082  2599  595  1722  2140  3247  2502  111  3897
1325,2916  1994  1321  3499  3101  1258  3702  1968  2193  2722
1331,2396  1175  1711  1924  586  750  3825  2657  1235  737
1333,3160  3499  1258  2105  266  1994  1784  253  1339  1321
1341,1196  541  923  2064  1292  2863  1371  2617  1077  3070
1345,1193  1206  1247  529  1296  2792  344  1912  1396  1207
1347,1196  2028  260  457  3256  904  235  1304  2797  1193
1353,858  2872  1193  1544  1952  673  920  3543  1924  2021
1361,1193  2857  2468  1035  1304  1207  849  3408  3717  1917
1365,2058  736  2004  2881  1617  3033  1500  3753  2423  1193
1379,2700  858  2804  1240  1291  1198  2791  3481  2580  2599
1385,1291  539  1339  1198  2723  908  1299  1784  2424  587
1391,589  608  541  1213  1080  1292  1136  368  2640  3802
1395,1206  318  3527  3535  253  2455  2193  1240  1645  1285
1397,318  608  3147  968  1219  235  377  919  1394  457
1399,1252  913  1258  1617  1953  1214  673  1952  3363  1037
1417,3535  1339  1175  2968  587  1090  253  750  2291  2021
1423,2762  2700  253  3499  457  288  3176  1994  1407  1345
1431,1197  1214  1215  1617  1653  1240  733  1213  1060  1261
1435,588  1682  595  3911  1094  2795  3897  2805  2355  3256
1449,1296  733  1198  435  2289  3260  1307  515  910  3535
1461,1270  2997  2791  589  1278  2716  1079  1028  1215  1307
1471,2858  2396  1527  2599  539  2133  1961  1358  2126  3638
1477,1721  648  1219  587  2881  1586  590  1258  1674  2688
1479,2791  1381  3418  1193  2502  2908  1278  1261  1248  2490
1481,3535  1644  2338  2722  3593  1717  1407  2606  849  3173
1491,1193  589  1676  2890  1079  3418  1407  508  3107  1291
1493,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1501,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1507,2028  2959  457  1645  3247  454  1393  1556  3527  3512
1511,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1515,2804  1207  2424  1968  3253  2968  1513  923  3160  2468
1527,592  3108  2710  2968  1097  3535  2150  1552  2005  1961
1529,590  1968  2011  2081  3386  1544  3108  2396  1961  2054
1531,1197  1968  2248  2145  3210  1090  1285  3702  2144  2393
1539,1617  1197  858  2791  2916  231  1037  367  592  551
1577,2791  1214  2716  3793  1278  2335  3763  3052  1374  923
1583,589  2700  2959  1200  2580  1562  788  1214  1077  2302
1613,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1617,1580  648  1777  2694  3535  104  1682  543  1035  3802
1619,1197  3897  1961  3911  3481  457  1608  778  2054  737
1623,2959  3354  1393  588  2826  587  2722  3160  2926  903
1625,2858  3148  587  1060  1921  2324  3897  2706  3147  161
1629,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1633,593  3623  1270  1197  2916  2804  3527  2105  588  1748
1645,2997  1213  587  111  3798  2713  586  608  1089  2641
1651,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1657,2858  1617  1387  1136  457  111  1089  1608  1080  1248
1659,919  3702  908  673  3699  3499  904  3408  1372  1387
1661,2858  1617  1252  2572  2289  2329  3702  2763  2194  1635
1675,2599  3175  1556  3745  1912  1097  953  3147  1676  3717
1679,318  2657  2804  588  1094  1307  1961  1278  2054  3535
1689,2762  593  1358  104  1805  2599  2581  1961  3499  3785
1693,2324  2716  1358  3247  2153  2478  508  235  2692  1779
1701,3753  780  852  1676  3108  2881  3440  266  2901  1748
1717,1214  1982  1345  2459  2288  968  2455  1407  1321  1304
1727,1206  750  912  908  1252  913  904  541  920  509
1745,1094  1957  3751  1285  377  1960  1917  2371  3361  546
1751,593  1240  1387  1214  1608  2115  2122  1982  2431  589
1753,1721  593  1200  1214  551  1136  2289  1252  2716  1080
1757,1680  1517  1407  2100  3793  2324  1060  2791  1214  2572
1761,1196  2021  1240  589  2140  1393  377  3471  1372  1356
1763,1196  1270  1200  1584  3751  750  788  1297  733  588
1771,3911  3897  3481  1394  1449  316  2805  410  3638  1690
1789,357  265  1206  260  1060  2150  750  1307  1261  316
1791,1513  2881  2605  2723  1035  2581  2369  1258  3481  2023
1803,2761  1694  2094  3285  2890  1924  2906  2324  2950  1215
1807,1676  590  1196  1136  3210  2763  2150  1917  1918  2369
1823,608  923  543  2391  2926  150  1358  1449  653  1690
1831,2997  318  150  1207  3147  3004  2572  1449  265  3160
1833,260  912  913  344  1748  1196  1219  1608  1562  1234
1835,3751  1580  3257  1148  2384  329  1556  1126  541  1242
1851,260  3793  661  1196  551  2502  1129  2355  2094  3175
1861,908  904  903  914  1035  2186  954  3435  1711  930
1867,593  1580  1784  1307  457  1193  2791  2384  1197  2797
1889,1270  2011  593  1196  1198  377  1805  2797  1291  3408
1891,1961  1307  2968  1962  1302  3471  1513  2908  2064  3354
1897,589  1196  1097  1291  260  457  1580  3175  592  3527
1905,924  2987  1196  357  1408  1694  1222  3160  3481  1500
1909,1196  590  1394  457  1266  1291  1500  1242  1079  2064
1915,2997  608  2028  858  1148  3897  3481  1198  1968  1223
1921,3753  2858  3751  3897  3148  1148  2722  3147  1732  3408
1925,1196  260  1197  1200  1584  1393  3147  457  2641  3527
1929,1193  1784  1381  3255  1271  111  2502  3624  3450  2908
1937,1784  1968  367  923  1682  1446  3535  1080  2291  2005
1939,593  2762  1917  1608  780  1580  592  1258  2858  3448
1949,2396  541  1200  1090  3527  260  1198  1291  1580  1222
1955,2858  2355  2763  3100  3793  924  2761  908  778  2720
1957,648  1242  3471  590  2413  2153  3753  1291  1792  1327
1959,2028  1196  1299  1287  1276  648  1358  1094  1694  2133
1961,3481  2396  1197  1517  2791  1676  1247  1206  2355  2599
1965,1291  1373  2405  329  2393  1198  1299  1371  1196  1375
1969,608  858  1097  1213  1909  111  1321  2336  1347  2329
1979,223  2722  2763  539  1912  2353  587  2881  1252  2424
1985,318  2692  150  1358  2805  265  1396  2555  3016  2502
1993,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
1995,2324  3247  1278  457  2797  3160  1208  2605  3358  466
1997,2628  353  1387  1580  1198  1222  3717  1302  1090  1242
2001,2997  1682  1921  2355  2762  3000  1393  265  2890  2011
2005,593  1198  260  2735  1291  1219  1370  3363  1918  1921
2013,1198  2791  1291  2792  3033  923  3683  1485  2288  1374
2017,2599  1912  3210  2580  3481  2997  368  2987  427  1358
2019,2858  608  318  223  1213  1258  2064  1252  2628  1676
2023,1088  1957  2115  265  1193  1408  2739  3098  1302  2986
2027,2987  1212  2640  457  2600  923  904  3255  1252  246
2033,924  3354  1968  3210  1222  150  1348  1219  2366  3018
2059,2396  1214  1374  1304  3704  1376  1200  1408  1371  2692
2063,2997  608  2294  2890  1235  3070  1258  1077  2253  1394
2069,1193  590  1208  1358  2329  2011  2968  2987  2723  1148
2077,3408  1717  1407  919  344  2338  2713  1375  3448  1917
2079,1270  1198  1196  1206  912  3897  1968  1240  3210  260
2085,3104  2064  235  1968  912  2011  1079  3702  1552  1258
2087,2081  595  588  1408  3108  1088  3809  2139  1238  1291
2099,608  1089  1527  590  1682  788  2580  778  2692  1396
2101,2791  2762  1270  3052  2712  1097  1527  2355  1089  2324
2121,2791  2804  1982  968  1562  2053  1517  1407  3210  3868
2127,2959  1198  260  3160  3753  1968  318  2478  2291  2302
2133,2858  593  2081  1732  866  1961  1219  1760  3802  104
2145,912  1247  485  923  1945  593  3386  2950  1104  1645
2151,2683  1517  587  3033  1059  1246  903  1831  1148  2115
2179,608  1193  434  1358  2617  95  265  1234  2105  1136
2185,2028  1214  2058  2455  1035  1200  2424  1777  3753  316
2193,2700  1198  223  3052  1517  1405  2302  1645  3253  3897
2195,858  1193  1207  1223  265  2987  3844  1408  2502  2064
2197,1617  2858  3160  2700  750  788  2105  1080  1248  1252
2201,1198  1197  1527  1374  1653  3253  1339  253  1408  1909
2207,2028  2291  1242  551  353  2908  590  3450  3176  2153
2209,1617  858  2804  1213  3147  2291  457  904  1982  3247
2221,940  920  546  1198  3471  327  594  2599  1556  509
2223,2959  608  2028  1198  1291  1270  2324  2355  2081  590
2229,1193  1276  1552  1994  172  1304  2153  2722  3095  1207
2231,1172  2762  2890  2599  1270  1307  1244  968  457  3424
2241,1193  377  1079  1234  1304  1235  265  2355  1240  2150
2243,1200  3354  1240  1374  1214  2455  3809  2723  3527  1586
2247,1089  1213  1198  1214  1732  3175  1079  1219  3253  1291
2249,260  1617  1270  2291  2599  1721  2021  3897  2722  1222
2257,589  1196  1200  3175  1214  260  1242  1291  3809  587
2261,1196  1270  318  1136  1208  923  913  1080  260  1207
2263,1617  3175  541  3702  3527  1396  2140  2021  733  1261
2267,858  2028  1270  318  590  912  1208  2872  1304  923
2277,2858  608  318  2291  1784  3481  778  337  1213  3897
2297,3160  2987  2706  2723  231  1240  3033  260  1968  2968
2299,2997  1732  1193  904  235  2289  1256  3471  1921  903
2305,593  1219  2959  1694  3499  318  2805  2021  2761  3033
2313,141  367  1136  2302  2126  2723  1405  1371  1307  2329
2321,908  1207  3108  904  1035  910  3699  1556  2194  2863
2323,111  924  1394  908  590  2115  3751  923  2617  2692
2333,1784  2881  3108  1271  539  1172  2302  2288  1222  2369
2335,2858  2396  377  1198  2692  357  2890  2100  1912  673
2341,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2357,2997  589  2791  3751  1270  2011  2599  608  1387  288
2359,2396  2762  1212  1089  2105  1307  1172  2950  1552  2109
2363,608  1213  1247  1304  1090  2890  1219  953  1234  1222
2367,2858  587  357  1918  2161  1200  2140  592  912  2160
2369,2858  2763  1247  592  2572  912  3897  1682  2064  2253
2383,2692  2501  551  2064  2580  1234  1676  3785  3070  150
2391,1197  1089  1207  3148  153  1917  778  1193  327  377
2393,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2395,2762  3753  2826  1608  3408  457  2273  1198  2881  3147
2397,2396  1617  377  357  1291  1961  1198  1302  588  2005
2409,592  150  435  2797  318  750  515  2021  3175  3255
2411,260  3175  1214  3527  1215  1200  2916  1965  2872  3147
2413,2396  1580  1222  2628  593  924  919  588  594  589
2415,908  904  903  1219  923  1261  2253  2094  318  1035
2417,260  2791  1909  1235  1278  3753  3359  1214  2808  1517
2429,924  2599  1240  750  3471  541  2253  587  1247  1079
2443,1197  2804  1207  1917  1136  1247  2402  788  1278  3147
2459,260  3160  2700  1270  3481  1136  2804  1208  1080  1035
2485,260  1278  3471  3793  750  1953  1234  2289  2716  1219
2487,1206  1094  1517  1408  2692  2890  3897  1912  2064  2699
2491,1270  2716  551  316  2105  3751  2692  1129  2968  2140
2499,2997  2908  2599  1517  3160  2959  1449  1748  1385  587
2501,2858  3897  908  912  2455  3785  1732  2253  2599  3238
2509,2858  593  3418  2959  2791  923  2908  590  1247  2968
2511,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2515,913  1284  2987  3435  912  3334  1252  2664  930  898
2521,223  1215  908  3717  1261  3745  1884  1968  2153  3785
2529,1206  1784  111  1247  2324  593  1876  3000  1952  954
2531,318  919  912  908  2081  904  2468  1097  913  1196
2537,3160  2805  2908  923  1722  555  3638  1556  111  3033
2551,2797  1307  1097  2502  2100  592  3471  539  903  1270
2553,2858  3499  1994  253  1321  1347  1339  1394  2302  541
2559,589  3623  1240  353  2816  3785  485  2011  1711  1748
2563,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2567,2858  908  1094  904  3897  1266  592  1500  1089  1261
2579,2791  3176  2716  2580  1215  3868  509  910  1198  1591
2581,919  3418  111  1982  1952  1258  2291  1077  912  3362
2591,1307  1079  2797  1831  2248  2617  2908  1285  318  2001
2597,1198  260  3897  2640  1500  555  3481  1291  1339  1253
2599,2716  196  1717  1982  2580  919  2987  1100  3408  1089
2601,318  1197  1213  3175  1035  920  919  2115  1408  1028
2613,1240  904  589  3527  377  541  546  3481  2150  594
2615,1136  1291  1080  1198  2908  673  2478  3396  1278  1339
2619,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2621,260  1408  2011  1909  2078  1544  316  2054  551  586
2623,541  924  1097  3471  3527  1200  750  2160  2105  2428
2625,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2627,2424  1356  3753  457  539  329  1287  2393  2641  497
2661,1193  1207  1358  904  2021  1296  3253  1223  172  1912
2667,858  1278  2300  2968  1276  1953  1136  1266  3317  2109
2677,1968  377  3210  1396  2144  1090  3257  3418  2606  2470
2681,2710  2353  532  3785  2722  1246  2664  3052  2692  968
2697,858  377  1370  1089  3418  165  1953  1552  2081  648
2709,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2719,1196  592  2890  1909  2115  1089  2369  231  353  849
2721,2762  1097  1207  904  1080  903  594  908  1136  1240
2731,2762  3753  1198  223  3798  1172  593  3785  1408  2064
2757,2455  2288  111  3101  1635  1291  2641  3108  529  2094
2763,1252  910  1617  3363  1247  750  922  1079  3535  1952
2775,3952  1079  1094  3697  1347  3252  3000  265  3471  2338
2781,1721  2396  1197  1270  1784  1674  246  2640  1608  3210
2795,2858  1196  912  3752  2160  2455  653  2193  316  780
2797,733  1222  2628  288  1090  541  1240  1197  2712  2997
2803,1198  595  588  2081  1291  1028  1907  1387  1608  3526
2817,2959  2700  1206  1196  1136  457  1060  737  2694  1037
2821,2710  3543  1234  1278  223  913  2396  2997  2908  2986
2823,592  353  3702  2194  153  1831  235  3868  555  2005
2825,2396  1617  2599  1912  1219  3897  913  1252  1408  908
2827,1356  1372  329  1376  2628  2393  1374  1375  1370  2289
2843,593  3108  1617  1196  2791  1215  1374  1584  2804  2890
2847,1407  1717  1644  253  1982  2723  1371  1347  736  1258
2853,2858  2028  318  3793  3753  1378  3173  1711  2329  2502
2869,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2871,2028  2762  2396  3176  2908  3527  1711  737  2490  1682
2873,1206  589  608  541  924  1222  1193  1035  1784  3210
2879,1193  1208  2028  3160  111  1148  1079  904  344  1129
2883,541  1214  608  2657  235  1591  2455  2617  2302  1513
2889,858  1304  111  780  1276  2950  509  288  2797  2692
2895,858  2291  589  3147  318  3052  1732  2916  3255  3809
2903,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
2915,2959  924  1208  1207  1247  1148  1089  1921  3702  1779
2939,1580  912  2858  1968  1302  3471  153  3809  1894  1682
2941,223  2640  1912  2908  2916  2369  3897  2723  485  1206
2949,858  919  908  509  904  2289  288  555  1089  1213
2953,903  968  2797  736  2762  1252  2490  1215  1291  1356
2957,2863  2640  2946  1393  2857  1387  910  3471  1256  1028
2959,2712  3535  968  910  3450  1645  3173  2338  673  3745
2961,2762  2028  1197  1584  1148  1223  3408  2193  1921  648
2965,2858  1617  1196  2291  592  1197  3623  2021  3108  1208
2967,3160  1148  778  3751  1198  1223  1580  2336  648  246
2983,1196  1240  541  3108  1060  1214  2968  266  3752  3471
